,time,price,text,path,value,group,time1,time2
17,1546209541.8262699,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,46.037903785705566,40
18,1546209547.077486,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.28911995887756,60
19,1546209547.136395,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.348028898239136,60
20,1546209547.3912508,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.6028847694397,60
21,1546209547.470359,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.68199300765991,60
22,1546209547.54685,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.75848388671875,60
23,1546209547.63897,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.85060381889343,60
24,1546209547.6971471,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.90878105163574,60
25,1546209547.7640069,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,51.97564077377319,60
26,1546209547.852709,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,52.064342975616455,60
27,1546209547.9182458,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,52.12987971305847,60
