,time,price,hash,spot,value,delta
0,11.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54343_1546209496.1784241_log.csv,101,0
0,11.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54504_1546209498.90372_log.csv,119,18
0,11.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54448_1546209498.0837069_log.csv,134,33
0,11.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54549_1546209499.407398_log.csv,134,33
0,11.0,101,fd5bb4377097654d25bb150b155d64a8,/tmp/spot101_54506_1546209498.904333_log.csv,109,8
0,11.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54491_1546209498.563925_log.csv,101,0
0,12.0,101,20a5eafb4eefbd86d127de6632e75574,/tmp/spot101_54605_1546209500.1237938_log.csv,107,6
0,12.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54431_1546209497.9268029_log.csv,134,33
0,13.0,101,cd529cd87600d51379152c7906965554,/tmp/spot101_54352_1546209496.476667_log.csv,118,17
0,13.0,101,e06f9125517d8e1f1d42db2d3820a0d0,/tmp/spot101_54356_1546209496.5390809_log.csv,116,15
0,13.0,101,e06f9125517d8e1f1d42db2d3820a0d0,/tmp/spot101_54607_1546209500.13467_log.csv,116,15
0,13.0,101,2b01d80d81949280c9c70ba79e915369,/tmp/spot101_54500_1546209498.901642_log.csv,137,36
1,13.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54386_1546209497.079861_log.csv,138,37
0,13.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54358_1546209496.5395489_log.csv,134,33
0,13.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54340_1546209496.161077_log.csv,134,33
0,14.0,101,62e4061887465f6e793f8b26994df2f1,/tmp/spot101_54533_1546209499.061271_log.csv,126,25
0,14.0,101,b6ee024b243b018599addd719365f00b,/tmp/spot101_54436_1546209498.018134_log.csv,132,31
0,14.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_54346_1546209496.3661902_log.csv,123,22
1,14.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54462_1546209498.3216_log.csv,138,37
1,14.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54429_1546209497.812014_log.csv,138,37
0,14.0,101,76498c1302543dd3d692b79c789f197e,/tmp/spot101_54398_1546209497.325247_log.csv,112,11
1,14.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54438_1546209498.0219631_log.csv,138,37
1,15.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54375_1546209496.917682_log.csv,138,37
