,time,price,hash,provider,value,delta
28,519.0,15,fd90f382c81ebe8b5c97e25c703c51c4,/tmp/provider_50582_1545752988.280998_log.csv,15,0
28,521.0,15,9c3f4845f091b6637b6ad936a723c37f,/tmp/provider_50675_1545752990.450146_log.csv,15,0
28,524.0,14,ea2986ba25c62549e484cfd0bd96523c,/tmp/provider_50620_1545752989.352591_log.csv,15,1
29,528.0,14,861a8f1ff53578b850ba28335ffe45c4,/tmp/provider_50656_1545752989.9036028_log.csv,14,0
29,533.0,14,861a8f1ff53578b850ba28335ffe45c4,/tmp/provider_50647_1545752989.786484_log.csv,14,0
29,534.0,13,914ee0074ba55d28f79dea59afedf503,/tmp/provider_50582_1545752988.280998_log.csv,13,0
29,536.0,13,2ccfc15eb33ba4f4da9706b0955ce7bd,/tmp/provider_50675_1545752990.450146_log.csv,13,0
29,540.0,13,914ee0074ba55d28f79dea59afedf503,/tmp/provider_50620_1545752989.352591_log.csv,13,0
30,543.0,13,1102e1c54f11f4195032a6932726cb58,/tmp/provider_50656_1545752989.9036028_log.csv,13,0
30,548.0,13,1102e1c54f11f4195032a6932726cb58,/tmp/provider_50647_1545752989.786484_log.csv,13,0
30,550.0,11,2ccfc15eb33ba4f4da9706b0955ce7bd,/tmp/provider_50582_1545752988.280998_log.csv,13,2
30,552.0,11,77f6dc81cc519db82ad2cdc5371477fa,/tmp/provider_50675_1545752990.450146_log.csv,11,0
30,555.0,11,3db4e8a7e3e1c6aa50cd4f5c70bead30,/tmp/provider_50620_1545752989.352591_log.csv,11,0
31,558.0,11,1a22481a51ad52f06b9717096ef1cf8a,/tmp/provider_50656_1545752989.9036028_log.csv,11,0
31,563.0,11,3db4e8a7e3e1c6aa50cd4f5c70bead30,/tmp/provider_50647_1545752989.786484_log.csv,11,0
31,565.0,11,1a22481a51ad52f06b9717096ef1cf8a,/tmp/provider_50582_1545752988.280998_log.csv,11,0
31,567.0,10,77f6dc81cc519db82ad2cdc5371477fa,/tmp/provider_50675_1545752990.450146_log.csv,11,1
31,570.0,10,0c9f46c89d86d963ee18010e412271c4,/tmp/provider_50620_1545752989.352591_log.csv,10,0
32,575.0,10,0c9f46c89d86d963ee18010e412271c4,/tmp/provider_50656_1545752989.9036028_log.csv,10,0
32,579.0,8,a606dd6de5ac52dd033a0067a9e42a01,/tmp/provider_50647_1545752989.786484_log.csv,9,1
32,582.0,8,451a6d6b3304c30712c84a1e73032459,/tmp/provider_50675_1545752990.450146_log.csv,8,0
32,584.0,9,a606dd6de5ac52dd033a0067a9e42a01,/tmp/provider_50582_1545752988.280998_log.csv,9,0
32,587.0,8,451a6d6b3304c30712c84a1e73032459,/tmp/provider_50620_1545752989.352591_log.csv,8,0
33,590.0,8,c39758aae535627e8582899d25e0468b,/tmp/provider_50656_1545752989.9036028_log.csv,8,0
33,595.0,8,c39758aae535627e8582899d25e0468b,/tmp/provider_50647_1545752989.786484_log.csv,8,0
33,597.0,7,ce17cecc99b5c00c28e8b34e03ce361e,/tmp/provider_50675_1545752990.450146_log.csv,7,0
33,599.0,6,e8c8f018c64e3e00bc65cbe36945f82f,/tmp/provider_50582_1545752988.280998_log.csv,6,0
33,602.0,7,ce17cecc99b5c00c28e8b34e03ce361e,/tmp/provider_50620_1545752989.352591_log.csv,7,0
34,605.0,6,2aa6c2fc87313dde7475919c3404b6a0,/tmp/provider_50656_1545752989.9036028_log.csv,6,0
34,610.0,6,e8c8f018c64e3e00bc65cbe36945f82f,/tmp/provider_50647_1545752989.786484_log.csv,6,0
34,612.0,6,2aa6c2fc87313dde7475919c3404b6a0,/tmp/provider_50675_1545752990.450146_log.csv,6,0
34,614.0,5,1f33ee4e88bb9a2b5d1adc75de5a8d95,/tmp/provider_50582_1545752988.280998_log.csv,5,0
34,617.0,5,e2b06203e3643beb8c9b8a27a6c5ee46,/tmp/provider_50620_1545752989.352591_log.csv,5,0
35,621.0,5,70a9ef6b9d84b2421016b228ca655c30,/tmp/provider_50656_1545752989.9036028_log.csv,5,0
35,625.0,5,1f33ee4e88bb9a2b5d1adc75de5a8d95,/tmp/provider_50647_1545752989.786484_log.csv,5,0
35,627.0,5,e2b06203e3643beb8c9b8a27a6c5ee46,/tmp/provider_50675_1545752990.450146_log.csv,5,0
35,629.0,3,70a9ef6b9d84b2421016b228ca655c30,/tmp/provider_50582_1545752988.280998_log.csv,5,2
35,632.0,3,5a82756a2242422bab92287689f5fb76,/tmp/provider_50620_1545752989.352591_log.csv,3,0
36,636.0,3,8067051ab479de7f06452fad684785ec,/tmp/provider_50656_1545752989.9036028_log.csv,3,0
